# COLORI VEICOLO (palette del gioco)
# formato:  indice | Nome | Gruppo
# Il gruppo decide in quale sottomenu finisce. Puoi rinominare a piacere.

106|Metallic Sun Bleached Sand|Metallic
107|Metallic Cream|Metallic
108|Util Brown|Util
109|Util Medium Brown|Util
110|Util Light Brown|Util
111|Metallic White|Metallic
112|Metallic Frost White|Metallic
113|Worn Honey Beige|Worn
114|Worn Brown|Worn
115|Worn Dark Brown|Worn
116|Worn Straw Beige|Worn
117|Brushed Steel|Metals
118|Brushed Black Steel|Metals
119|Brushed Aluminium|Metals
120|Chrome|Metals
121|Worn Off White|Worn
122|Util Off White|Util
123|Worn Orange|Worn
124|Worn Light Orange|Worn
125|Metallic Securicor Green|Metallic
126|Worn Taxi Yellow|Worn
127|Police Car Blue|Special
128|Matte Green|Matte
129|Matte Brown|Matte
130|Worn Orange 2|Worn
131|Matte White|Matte
132|Worn White|Worn
133|Worn Olive Army Green|Worn
134|Pure White|Special
135|Hot Pink|Special
136|Salmon Pink|Special
137|Metallic Vermillion Pink|Metallic
138|Orange|Special
139|Green|Special
140|Blue|Special
141|Metallic Black Blue|Metallic
142|Metallic Black Purple|Metallic
143|Metallic Black Red|Metallic
144|Hunter Green|Special
145|Metallic Purple|Metallic
146|Metallic V Dark Blue|Metallic
147|Modshop Black|Special
148|Matte Purple|Matte
149|Matte Dark Purple|Matte
150|Metallic Lava Red|Metallic
151|Matte Forest Green|Matte
152|Matte Olive Drab|Matte
153|Matte Desert Brown|Matte
154|Matte Desert Tan|Matte
155|Matte Foliage Green|Matte
156|Default Alloy|Special
157|Epsilon Blue|Special
158|Pure Gold|Special
159|Brushed Gold|Metals

# --- vernici Chameleon ---
161|Monochrome|Chameleon
162|Night and Day|Chameleon
163|The Verlierer|Chameleon
164|Sprunk Extreme|Chameleon
165|Vice City|Chameleon
166|Synthwave Night|Chameleon
167|Four Seasons|Chameleon
168|Bubblegum|Chameleon
169|Full Rainbow|Chameleon
170|Sunset|Chameleon
171|The Seven|Chameleon
172|Kamen Rider|Chameleon
173|Chromatic Aberration|Chameleon
174|It's Christmas|Chameleon
175|Temperature|Chameleon
176|Sundae Funday|Chameleon
177|Bee Sting|Chameleon
178|Fubuki|Chameleon
179|Kitty Chrome|Chameleon
180|Atomic Rainbow|Chameleon
181|Christmas Rainbow|Chameleon
182|Retrowave|Chameleon
